Fold,Trial Number,Trial ID,Validation Score,Elapsed Time,embed_dim,n_encoders_layers,num_heads_for_0_layer,num_heads_for_1_layer,n_dense_layers,units_for_0_layer,learning_rate,num_heads_for_2_layer,num_heads_for_3_layer,units_for_1_layer
1,5,01,3.299631357192993,1943.26819896698,16,4,2,2,1,64,0.01,4,2,32
1,4,08,3.09454345703125,1943.2681920528412,32,2,2,2,2,64,0.01,4,4,64
1,3,05,2.996406316757202,1943.2681910991669,32,2,2,4,1,64,0.01,2,2,32
1,2,06,2.847400426864624,1943.268170118332,16,2,4,4,2,32,0.01,2,2,32
1,1,04,2.3781075477600098,1943.2681500911713,16,2,2,4,1,32,0.001,4,2,32
2,5,01,3.299631357192993,595.9494440555573,16,4,2,2,1,64,0.01,4,2,32
2,4,08,3.09454345703125,595.9494278430939,32,2,2,2,2,64,0.01,4,4,64
2,3,05,2.996406316757202,595.9494230747223,32,2,2,4,1,64,0.01,2,2,32
2,2,06,2.847400426864624,595.9494049549103,16,2,4,4,2,32,0.01,2,2,32
2,1,04,2.3781075477600098,595.9493181705475,16,2,2,4,1,32,0.001,4,2,32
3,5,01,3.299631357192993,616.531445980072,16,4,2,2,1,64,0.01,4,2,32
3,4,08,3.09454345703125,616.5314381122589,32,2,2,2,2,64,0.01,4,4,64
3,3,05,2.996406316757202,616.5314221382141,32,2,2,4,1,64,0.01,2,2,32
3,2,06,2.847400426864624,616.5313930511475,16,2,4,4,2,32,0.01,2,2,32
3,1,04,2.3781075477600098,616.5313532352448,16,2,2,4,1,32,0.001,4,2,32
4,5,01,3.299631357192993,625.4332342147827,16,4,2,2,1,64,0.01,4,2,32
4,4,08,3.09454345703125,625.4330401420593,32,2,2,2,2,64,0.01,4,4,64
4,3,05,2.996406316757202,625.4330313205719,32,2,2,4,1,64,0.01,2,2,32
4,2,06,2.847400426864624,625.4330041408539,16,2,4,4,2,32,0.01,2,2,32
4,1,04,2.3781075477600098,625.4329793453217,16,2,2,4,1,32,0.001,4,2,32
